ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
987,kothapet & dilsukhnagar,hyderabad,sri raghavendra tiffins & meals,280,2.9,80,south indian,kothapet & dilsukhnagar,48,0.58,0.164705882,4.2,3
988,banjara hills,hyderabad,mendys panipuri,300,2.9,80,"street food,chaat",banjara hills,69,0.58,0.176470588,3.6,3.2
989,santoshnagar & saidabad,hyderabad,foodiez hub,140,2.9,80,"chinese,indian",santoshnagar & saidabad,35,0.58,0.082352941,3.1,4.9
990,kothapet & dilsukhnagar,hyderabad,habibi hungry,200,4.6,50,"arabian,fast food",kothapet & dilsukhnagar,40,0.92,0.117647059,4.5,2.7
991,banjara hills,hyderabad,chulha chowki,350,2.9,80,"indian,chinese,kebabs,tandoor,biryani,snacks,beverages,desserts,arabian",banjara hills,55,0.58,0.205882353,4.5,3.7
992,himayath nagar,hyderabad,delite pizza and shakes,200,2.9,80,"pizzas,beverages",himayath nagar,52,0.58,0.117647059,4.2,2.6
993,nallakunta & vidyanagar,hyderabad,al ibrahim hotel,250,4.2,100,biryani,nallakunta & vidyanagar,42,0.84,0.147058824,3.2,3.8
994,ameerpet,hyderabad,sricanth dhaba,280,3.2,20,indian  chinese,ameerpet,69,0.64,0.164705882,4,2.9
995,hyderguda old mla home,hyderabad,american bakers bakers & confectioners,250,2.9,80,fast food,hyderguda,36,0.58,0.147058824,3.4,4.1
996,tolichowki,hyderabad,ttt juice center,150,2.9,80,beverages,tolichowki,61,0.58,0.088235294,2.7,3.2
997,ramgopalpet,hyderabad,tea time,200,2.9,80,beverages,begumpet,63,0.58,0.117647059,4.8,4.2
998,kothapet & dilsukhnagar,hyderabad,hunger's hub fastfood,250,2.9,80,"chinese,bakery,fast food",kothapet & dilsukhnagar,38,0.58,0.147058824,2.8,3.4
999,uppal,hyderabad,pista house restaurant,400,4,500,"biryani,chinese,tandoor,ice cream,beverages",uppal,64,0.8,0.235294118,4.9,2.5
1000,himayath nagar,hyderabad,hotel city point,200,2.9,80,"chinese,indian",himayath nagar,35,0.58,0.117647059,3.6,3.2
1001,nallakunta & vidyanagar,hyderabad,wow! samosa,105,2.9,80,snacks,nallakunta & vidyanagar,36,0.58,0.061764706,3,2.7
1002,kothapet & dilsukhnagar,hyderabad,sobremesa - cakes and dessets,300,4.4,20,bakery  desserts,kothapet & dilsukhnagar,74,0.88,0.176470588,3.9,3.7
1003,uppal,hyderabad,pista house bakery,200,4,500,"pizzas,salads",uppal,63,0.8,0.117647059,4.7,3.2
1004,himayath nagar,hyderabad,monster pizza,140,2.9,80,pizzas,himayath nagar,35,0.58,0.082352941,4.3,4.1
1005,uppal,hyderabad,pista house tea,100,4.2,50,beverages,uppal,63,0.84,0.058823529,4.5,3.7
1006,nallakunta & vidyanagar,hyderabad,durga's street delight's,200,2.9,80,"chinese,north indian,biryani",nallakunta & vidyanagar,41,0.58,0.117647059,4.1,2.6
1007,himayath nagar,hyderabad,the tea planet  kachiguda,200,2.9,80,"beverages,snacks",himayath nagar,31,0.58,0.117647059,4.2,3.3
1008,kothapet & dilsukhnagar,hyderabad,cherrys kitchen,200,2.9,80,"arabian,chinese,beverages",kothapet & dilsukhnagar,51,0.58,0.117647059,4.6,3.7
1009,ashok nagar,hyderabad,c kitchen,250,2.9,80,chinese,ashok nagar,40,0.58,0.147058824,3.1,3.9
1010,nallakunta & vidyanagar,hyderabad,vaishu's kitchen,300,2.9,80,"biryani,chinese",nallakunta & vidyanagar,48,0.58,0.176470588,3.7,2.8
1011,mehdipatnam,hyderabad,tasty byte,250,2.9,80,"chinese,italian,beverages",mehdipatnam,61,0.58,0.147058824,3.1,4.1
1012,charminar,hyderabad,msa juices shawarma fruits,200,2.9,80,"beverages,juices,indian",charminar,46,0.58,0.117647059,5,3.4
1013,ameerpet,hyderabad,vishnu priya udipi tiffins & meals,250,2.9,80,chinese  south indian,ameerpet,66,0.58,0.147058824,4.9,3
1014,himayath nagar,hyderabad,golden bistro,250,2.9,80,"chinese,fast food",himayath nagar,40,0.58,0.147058824,2.6,4.5
1015,banjara hills,hyderabad,filful shawarma,250,2.9,80,"snacks,lebanese",banjara hills,78,0.58,0.147058824,4.3,2.7
1016,tarnaka  nacharam & malkajigiri,hyderabad,manus kitchen tiffins,500,4,20,south indian  combo  sweets,tarnaka  nacharam & malkajigiri,69,0.8,0.294117647,4.8,4.8
1017,himayath nagar,hyderabad,zorro - milkshakes and thickshakes,300,5,20,beverages,himayath nagar,46,1,0.176470588,3,4.3
1018,tarnaka  nacharam & malkajigiri,hyderabad,hotel tamilnaadu,100,2.9,80,south indian,tarnaka  nacharam & malkajigiri,75,0.58,0.058823529,3.9,3.7
1019,kothapet & dilsukhnagar,hyderabad,bhaijaan's avenue,280,2.9,80,"north indian,seafood,indian",kothapet & dilsukhnagar,32,0.58,0.164705882,4.8,2.5
1020,charminar,hyderabad,bilaad eatery,275,2.9,80,pizzas,charminar,53,0.58,0.161764706,2.6,3.5
1021,tolichowki,hyderabad,sam icecreame and chat center,120,2.9,80,beverages  ice cream  salads,tolichowki,75,0.58,0.070588235,4.2,4.1
1022,kothapet & dilsukhnagar,hyderabad,grillistan,300,2.9,80,"arabian,fast food,pizzas,snacks,beverages",kothapet & dilsukhnagar,39,0.58,0.176470588,3.2,4.6
1023,vanasthalipuram,hyderabad,manna millet restaurant,150,2.9,80,south indian,vanasthalipuram,92,0.58,0.088235294,4.8,4
1024,himayath nagar,hyderabad,norfest - the dhaba,250,4.2,50,indian,himayath nagar,35,0.84,0.147058824,4.9,3.5
1025,charminar,hyderabad,pista house bakery kotla,200,4.3,100,"fast food,continental,pizzas,snacks",charminar,46,0.86,0.117647059,4.9,3.6
1026,nallakunta & vidyanagar,hyderabad,all about garlic bread,300,2.9,80,fast food,nallakunta & vidyanagar,43,0.58,0.176470588,3.7,4.7
1027, begumpet,hyderabad,the hide away cafe,480,2.9,80,chinese,begumpet,67,0.58,0.282352941,4.7,3.4
1028,kothapet & dilsukhnagar,hyderabad,saleem stores the pan parlour,150,2.9,80,paan,kothapet & dilsukhnagar,57,0.58,0.088235294,4.6,2.7
1029,kothapet & dilsukhnagar,hyderabad,sri dharshani pure veg.tiffin center,300,2.9,80,south indian,kothapet & dilsukhnagar,58,0.58,0.176470588,3.3,3.6
1030,kothapet & dilsukhnagar,hyderabad,al-madina chinese fast food and arabian shawarma,300,2.9,80,chinese,kothapet & dilsukhnagar,32,0.58,0.176470588,4.6,5
1031,nallakunta & vidyanagar,hyderabad,brook bite brownie,200,2.9,80,desserts,nallakunta & vidyanagar,44,0.58,0.117647059,2.6,3.4
1032,tarnaka  nacharam & malkajigiri,hyderabad,yummy and cakes fast food,200,2.9,80,bakery  snacks,tarnaka  nacharam & malkajigiri,71,0.58,0.117647059,4,3
1033,ameerpet,hyderabad,babai tiffins and carries,200,2.9,80,south indian,ameerpet,72,0.58,0.117647059,3.1,2.6
1034,tolichowki,hyderabad,frost n roll,400,2.9,80,"ice cream,beverages,fast food",tolichowki,74,0.58,0.235294118,2.8,2.9
1035,kothapet & dilsukhnagar,hyderabad,military xpress,300,2.9,80,south indian,kothapet & dilsukhnagar,73,0.58,0.176470588,2.7,3.3
1036,himayath nagar,hyderabad,jaihind biryani (no halal),400,2.9,80,indian,himayath nagar,36,0.58,0.235294118,4.2,3.9
1037,himayath nagar,hyderabad,dharu snacks,350,2.9,80,"indian,combo",himayath nagar,34,0.58,0.205882353,3.3,4.2
1038,himayath nagar,hyderabad,bhagyalaxmi dhaba,250,2.9,80,indian  chinese  combo,himayath nagar,36,0.58,0.147058824,4.3,2.6
1039,banjarahills,hyderabad,grand chicken haleem,150,2.9,80,hyderabadi,red hills,46,0.58,0.088235294,2.7,4.8
